The recipe,Source file count,Source file changed count,Cumulative scanning time (ns),Max scanning time (ns),Cumulative edit time (ns),Max edit time (ns)
The recipe whose stats are being measured both individually and cumulatively.,The number of source files the recipe ran over.,"The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.",The total time spent across the scanning phase of this recipe.,The max time scanning any one source file.,The total time spent across the editing phase of this recipe.,The max time editing any one source file.
org.openrewrite.java.testing.mockito.CleanupPowerMockImports,10,0,0,0,135416,16818
org.openrewrite.java.migrate.javax.AddJaxwsDependencies,10,0,19189,5090,35256,11811
org.openrewrite.java.migrate.ReplaceLocalizedStreamMethods,10,0,0,0,943800,146855
org.openrewrite.java.testing.testcontainers.AddTestcontainersAnnotations,10,0,0,0,9197,2590
org.openrewrite.java.spring.security6.UpdateRequestCache,10,0,0,0,28671,3287
org.openrewrite.java.spring.batch.MigrateJobParameter,10,0,0,0,260545,130802
org.openrewrite.java.spring.framework.MigrateSpringAssert,10,0,10160,2200,17469,2268
org.openrewrite.java.spring.security5.UpgradeSpringSecurity_5_8,10,0,4059,539,14410,1126
org.openrewrite.java.ReorderMethodArguments,10,0,0,0,2088430,649435
org.openrewrite.java.migrate.Java8toJava11,10,0,13998,2641,14008,1531
org.openrewrite.java.migrate.InternalBindPackages,10,0,21827,16566,30553,4560
org.openrewrite.java.spring.security5.UpgradeSpringSecurity_5_7,10,0,16737,2254,46599,5076
org.openrewrite.RenameFile,10,0,0,0,66459598,23978449
org.openrewrite.apache.httpclient4.MappingDeprecatedClasses,10,0,6559,1503,12495,2043
org.openrewrite.java.migrate.lang.JavaLangAPIs,10,0,5760,1338,13721,1231
org.openrewrite.java.spring.boot2.UnnecessarySpringExtension,10,0,0,0,164582,30693
org.openrewrite.java.migrate.jakarta.JavaxBeanValidationXmlToJakartaBeanValidationXml,10,0,11865,804,18940,4368
org.openrewrite.java.migrate.javax.MigrateElementScanner6To9,10,0,3913,1303,15384,1984
org.openrewrite.java.testing.junit5.AddMissingTestBeforeAfterAnnotations,10,0,0,0,2441177,588486
org.openrewrite.java.testing.junit5.UseTestMethodOrder,10,0,0,0,74849,10594
org.openrewrite.java.testing.junit5.EnclosedToNested,10,0,0,0,65475,8858
org.openrewrite.java.migrate.BouncyCastleFromJdk15OnToJdk15to18,10,0,6436,2579,18332,2731
org.openrewrite.java.migrate.lang.MigrateRuntimeVersionSecurityToUpdate,10,0,4205,1189,8986,1516
org.openrewrite.java.migrate.javax.MigrateAbstractAnnotationValueVisitor6To9,10,0,4873,1527,16954,1586
org.openrewrite.java.spring.security6.RequireExplicitSavingOfSecurityContextRepository,10,0,0,0,57824,9366
org.openrewrite.java.testing.arquillian.ArquillianJUnit4ToArquillianJUnit5,10,0,0,0,79331,27753
org.openrewrite.java.migrate.AddMissingMethodImplementation,10,0,0,0,664708,67558
org.openrewrite.java.migrate.BounceCastleFromJdk15OntoJdk18On,10,0,6045,2341,31444,3636
org.openrewrite.java.spring.boot2.MigrateRestClientBuilderCustomizerPackageName,10,0,25313,3837,48758,11905
org.openrewrite.java.spring.boot2.SpringBootMavenPluginMigrateAgentToAgents,10,0,0,0,2167772,1780154
org.openrewrite.java.testing.junit5.EnvironmentVariables,10,0,0,0,43687021,16970202
org.openrewrite.java.migrate.jakarta.JavaxXmlWsMigrationToJakartaXmlWs,10,0,4960,604,16608,1983
org.openrewrite.java.migrate.javax.AddCommonAnnotationsDependencies,10,0,9699,2131,16282,1755
org.openrewrite.java.spring.boot2.MigrateActuatorMediaTypeToApiVersion,10,0,0,0,3976759,1193271
org.openrewrite.java.testing.mockito.ReplaceInitMockToOpenMock,10,0,0,0,125588,45919
org.openrewrite.gradle.AddDependency,10,0,362064,46170,131861,21020
org.openrewrite.maven.RemoveManagedDependency,10,0,0,0,638894,194007
org.openrewrite.apache.httpclient5.NewRequestLine,10,0,0,0,14619,1342
org.openrewrite.java.migrate.jakarta.JakartaFacesTagLibraryXml4,10,0,27818,23935,14233,3666
org.openrewrite.java.testing.junit5.UseHamcrestAssertThat,10,0,0,0,28982,11471
org.openrewrite.apache.httpclient5.StatusLine,10,0,6451,494,51900,7025
org.openrewrite.openapi.swagger.MigrateApiModelToSchema,10,0,0,0,54329,5239
org.openrewrite.java.testing.junit5.AddJupiterDependencies,10,0,3544791,724776,3166281,2783839
org.openrewrite.java.spring.CommentOutSpringPropertyKey,10,0,0,0,37663592,804883
org.openrewrite.java.testing.mockito.RemoveInitMocksIfRunnersSpecified,10,0,0,0,111377,12629
org.openrewrite.java.migrate.RemovedToolProviderConstructor,10,0,4125,1193,21666,5503
org.openrewrite.java.testing.mockito.VerifyZeroToNoMoreInteractions,10,0,11231365,3936254,487276,68626
org.openrewrite.java.dependencies.ChangeDependency,10,0,0,0,149580807,17188260
org.openrewrite.openapi.swagger.ConvertApiResponseToContent,10,0,0,0,73059,8070
org.openrewrite.java.migrate.javax.JavaxLangModelUtil,10,0,6503,1767,15114,1462
org.openrewrite.java.testing.junit5.ParameterizedRunnerToParameterized,10,0,0,0,90663,12013
org.openrewrite.maven.RemoveProperty,10,0,0,0,251578,121534
org.openrewrite.java.migrate.jakarta.JavaxJwsToJakartaJws,10,0,9097,1426,19381,4741
org.openrewrite.java.spring.doc.MigrateDocketBeanToGroupedOpenApiBean,10,0,7083213,3140606,180827,32714
org.openrewrite.apache.httpclient4.UpgradeApacheHttpClient_4_5,10,0,82897,71362,11475,1011
org.openrewrite.java.testing.junit5.UpdateBeforeAfterAnnotations,10,0,0,0,226022,32268
org.openrewrite.staticanalysis.AddSerialAnnotationToSerialVersionUID,10,0,0,0,1109853,206298
org.openrewrite.hibernate.MigrateBooleanMappings,10,0,0,0,215606,22152
org.openrewrite.java.migrate.jakarta.JavaxWebFragmentXmlToJakartaWebFragmentXml,10,0,7389,994,57287,22250
org.openrewrite.java.migrate.jakarta.JakartaWebFragmentXml6,10,0,4975,481,13156,1253
org.openrewrite.java.spring.boot2.MigrateHibernateConstraintsToJavax,10,0,9660,1755,30084,3617
org.openrewrite.apache.httpclient5.AddTimeUnitArgument,10,0,0,0,8927239,569200
org.openrewrite.java.spring.boot2.MigrateLocalServerPortAnnotation,10,0,0,0,107260,14411
org.openrewrite.java.testing.junit5.MigrateAssumptions,10,0,0,0,35782,12322
org.openrewrite.java.spring.cloud2022.MigrateRequestMappingOnFeignClient,10,0,0,0,118571,59709
org.openrewrite.java.testing.junit5.AddMissingNested,10,0,0,0,7740986,2534896
org.openrewrite.java.testing.dbrider.ExecutionListenerToDbRiderAnnotation,10,0,0,0,276168,96088
org.openrewrite.apache.httpclient5.UpgradeApacheHttpClient_5,10,0,5838,463,33622,5720
org.openrewrite.java.migrate.AddStaticVariableOnProducerSessionBean,10,0,2058221,1631216,367553,103832
